time ax ay az wx wy wz hm
481295101 -00.096096 +00.006474 -09.785229 +0.001032 +0.001477 -0.003526 +11.73
481295106 -00.269937 -00.055620 -09.820804 +0.005643 +0.000332 -0.001312 +11.05
481295111 -00.269937 -00.055620 -09.820804 +0.004605 -0.001733 +0.006382 +11.45
481295116 -00.221375 -00.059713 -09.891860 +0.003011 +0.007702 +0.008592 +11.51
481295121 +00.010358 +00.083196 -09.807209 +0.000281 +0.008787 +0.010313 -02.09
481295126 -00.027852 +00.245731 -09.862761 -0.001622 +0.006089 +0.007945 +14.02
481295131 -00.057187 +00.140286 -09.807119 -0.001622 +0.006089 +0.007945 +14.02
481295136 -00.125279 +00.001223 -09.733164 -0.000480 -0.000420 +0.003695 +14.72
481295141 -00.125279 +00.001223 -09.733164 -0.001556 +0.005569 +0.000872 +12.35
481295146 -00.314054 -00.033322 -09.639971 +0.001972 +0.007682 +0.000259 +16.16
481295151 -00.342618 -00.094308 -09.774273 +0.003149 +0.001908 +0.009212 +06.08
481295156 -00.023527 -00.012145 -09.822915 +0.003990 +0.007741 +0.006552 +14.37
481295161 +00.058871 +00.202643 -09.819661 +0.001123 +0.006788 +0.005284 +14.37
481295166 -00.085780 +00.150571 -09.907245 -0.000048 +0.004132 +0.009990 +16.34
481295171 -00.085780 +00.150571 -09.907245 -0.005028 +0.000391 +0.011539 +12.03
481295176 -00.081352 +00.049850 -09.836969 -0.003954 +0.002840 +0.000231 +08.60
481295181 -00.130207 -00.032288 -09.719317 -0.000996 +0.001111 +0.007939 +09.95
481295186 -00.303899 -00.022727 -09.768329 +0.001508 -0.001853 +0.012657 +08.00
481295191 -00.201998 -00.031019 -09.896114 +0.004138 +0.005002 +0.007020 +08.00
481295196 +00.020400 +00.169638 -09.877528 +0.004151 +0.009983 +0.007028 -01.21
481295201 +00.020400 +00.169638 -09.877528 +0.002829 +0.005583 +0.010317 -01.22
481295206 -00.057023 +00.183440 -09.835179 +0.002345 +0.003975 +0.010312 +03.61
481295211 -00.028462 +00.082732 -09.759932 +0.002077 -0.000890 +0.003546 +10.14
481295216 -00.173623 +00.115163 -09.679855 +0.002077 -0.000890 +0.003546 +09.81
481295221 -00.309026 +00.047958 -09.662776 -0.001234 -0.004179 -0.002128 +09.81
481295226 -00.241476 -00.085211 -09.692336 -0.001278 -0.002820 +0.002903 +09.04
481295231 -00.241476 -00.085211 -09.692336 +0.000962 +0.009824 +0.006231 +06.95
481295236 +00.038691 -00.041781 -09.679869 +0.000144 +0.016822 +0.010168 +11.51
481295241 -00.003894 +00.221590 -09.819982 +0.004487 +0.010333 +0.005458 +09.12
481295246 -00.177227 +00.260457 -09.954358 +0.003181 +0.004844 +0.006702 +10.64
481295251 -00.090590 +00.112560 -09.926784 -0.003069 +0.001591 +0.007618 +10.64
481295256 -00.120395 +00.001348 -09.747405 +0.001175 -0.000791 -0.002429 +09.10
481295261 -00.120395 +00.001348 -09.747405 -0.001378 -0.006069 -0.004332 +05.27
481295266 -00.327797 -00.060279 -09.849932 +0.001294 +0.001533 +0.002604 +07.94
481295271 -00.211848 -00.026691 -09.843768 +0.006206 +0.007072 +0.008602 +07.87
481295276 +00.015310 +00.121514 -09.825760 +0.007667 +0.010475 +0.007198 +06.75
481295281 -00.057208 +00.244865 -09.763026 +0.000373 +0.007354 +0.000253 +06.75
481295286 -00.042762 +00.078354 -09.812488 -0.004430 +0.003644 +0.000073 +07.46
481295291 -00.042762 +00.078354 -09.812488 -0.005250 +0.002165 +0.001797 +12.57
481295296 -00.168984 -00.027906 -09.681506 -0.005250 +0.002165 +0.001797 +06.61
481295301 -00.289683 -00.028042 -09.696840 -0.001251 +0.003465 +0.001813 +08.96
481295306 -00.226892 -00.094489 -09.720890 -0.000161 +0.001659 +0.004328 +13.38
481295311 +00.039459 +00.040716 -09.855077 +0.000808 +0.007117 +0.004812 +13.38
481295316 +00.010895 +00.246042 -09.890993 +0.009952 +0.014247 +0.003283 +09.63
481295321 +00.010895 +00.246042 -09.890993 -0.000338 +0.010261 +0.008584 +08.33
481295326 -00.085858 +00.079070 -09.912853 -0.004471 +0.001972 +0.003842 +15.99
481295331 -00.095845 +00.021281 -09.846957 -0.005417 +0.001192 +0.002266 +06.44
481295336 -00.202703 -00.065823 -09.720342 -0.003269 +0.002126 -0.004797 +12.66
481295341 -00.308709 +00.005840 -09.763271 +0.001443 +0.003113 +0.004179 +12.66
481295346 -00.124722 +00.045221 -09.865971 +0.001857 +0.003317 +0.011095 +13.53
481295351 -00.124722 +00.045221 -09.865971 +0.006547 +0.014305 +0.008457 +09.04
481295356 +00.034929 +00.198284 -09.877063 +0.004646 +0.007294 +0.004668 +16.52
481295361 -00.047172 +00.193383 -09.882595 -0.003504 +0.000551 +0.002586 +14.69
481295366 -00.033192 +00.063913 -09.793528 -0.000150 -0.002957 +0.001806 +07.09
481295371 -00.188186 +00.034132 -09.690463 +0.003235 +0.001902 +0.000254 +07.09
481295376 -00.265547 +00.014778 -09.677077 -0.002078 -0.002343 +0.003058 +09.56
481295381 -00.265547 +00.014778 -09.677077 -0.002078 -0.002343 +0.003058 +09.44
481295386 -00.130345 -00.108673 -09.710697 +0.005900 +0.008214 +0.007502 +13.30
481295391 -00.009202 +00.063618 -09.750467 +0.010593 +0.012174 +0.002496 +13.02
481295396 -00.138983 +00.216885 -09.864066 +0.004241 +0.004581 +0.012834 +21.44
481295401 -00.138632 +00.212883 -09.959348 -0.002972 -0.003318 +0.012797 +21.44
481295406 -00.042587 +00.102508 -09.850296 -0.003964 -0.000055 +0.000383 +04.43
481295411 -00.042587 +00.102508 -09.850296 +0.001032 +0.008193 -0.001629 +06.38
481295416 -00.178302 -00.050966 -09.781859 +0.001032 +0.008193 -0.001629 +08.41
481295421 -00.294080 -00.036631 -09.816027 -0.001150 -0.003516 +0.006045 +09.63
481295426 -00.149150 -00.002983 -09.809610 +0.004775 +0.009158 +0.008443 +03.64
481295431 +00.048952 +00.168778 -09.763005 +0.003498 +0.012513 +0.009230 +03.64
481295436 +00.010637 +00.278775 -09.809656 -0.002579 +0.001293 +0.006362 +07.74
481295441 +00.010637 +00.278775 -09.809656 -0.003971 +0.002649 +0.001959 +08.25
481295446 -00.013908 +00.063876 -09.783838 -0.000099 +0.000651 -0.002431 +10.83
481295451 -00.197761 -00.008505 -09.729145 +0.005304 -0.007057 -0.001482 +11.14
481295456 -00.391100 -00.056753 -09.712344 +0.004666 -0.002261 -0.000219 +08.90
481295461 -00.173655 -00.108418 -09.753927 +0.001125 +0.007752 +0.005285 +08.90
481295466 +00.053966 +00.159671 -09.815450 +0.001125 +0.007752 +0.005285 +08.32
481295471 +00.053966 +00.159671 -09.815450 -0.000334 +0.011707 +0.008587 +03.86
481295476 -00.056980 +00.202556 -09.839715 -0.000653 +0.004832 +0.006532 +11.57
481295481 -00.119706 +00.064653 -09.908555 -0.000335 +0.002592 +0.006058 +06.39
481295486 -00.159063 +00.034499 -09.728301 -0.002194 +0.005248 +0.000712 +16.35
481295491 -00.222094 -00.051748 -09.696534 +0.001615 -0.000380 +0.001816 +16.35
481295496 -00.250590 -00.022233 -09.815480 +0.001771 +0.000092 +0.002446 +07.21
481295501 -00.250590 -00.022233 -09.815480 +0.000851 +0.007833 +0.000570 +09.58
481295506 -00.061841 +00.045543 -09.889232 +0.006295 +0.009631 -0.000038 +07.52
481295511 +00.015919 +00.217935 -09.953186 +0.001180 +0.013607 +0.001209 +11.77
481295516 -00.028139 +00.164270 -09.816108 +0.001169 +0.009430 +0.001202 +00.09
481295521 -00.028411 +00.054308 -09.784077 -0.004289 +0.006809 +0.002908 +00.09
481295526 -00.140051 +00.109965 -09.617721 -0.000834 -0.001761 +0.006835 +10.38
